Max-Temp,Min-Temp,RH(%)1,RH(%)2,Rain(mm),Incd.(%),Sevrt.(%)
19.5,10.1,75.0,59.0,3.0,0.0,0.0
24.6,8.9,67.0,42.0,9.0,0.0,0.0
22.05,9.5,71.0,50.5,20.0,3.0,1.0
29.20785061,16.25097811,80.12607099,51.80201907,7.870917942999999,4.0,3.0
28.24134763,15.64379887,71.21364374,45.50936629,14.68783263,4.0,3.0
24.27845636,9.64805684,62.08959350000001,40.71317683,14.78901671,3.0,2.0
31.25,17.25,47.6,29.53,33.2,4.0,3.0
30.83333333,16.33333333,35.2,18.73,44.56666667,4.0,3.0
29.73333333,14.66666667,26.53333333,16.64,40.3,5.0,3.0
26.83333333,17.4,28.86666667,20.51666667,56.8,5.0,3.0
28.0,15.2,7.6,1.215,70.0,5.0,3.0
12.5,3.0,94.0,67.0,1.2,0.0,0.0
26.0,9.2,61.0,34.0,10.6,0.0,0.0
27.63380952,10.21690476,66.69047619,41.67452381,9.122857143,3.0,1.0
24.33333333,10.83333333,74.33333333,60.33333333,0.0,2.0,2.0
27.9,11.56666667,11.56666667,30.07666667,30.07666667,4.0,2.0
29.77972222,16.84361111,58.57666667,42.44480556,16.83194444,4.0,2.0
28.0,15.5,84.66666667,61.66666667,6.566666667000001,3.0,3.0
31.125,16.35,46.4,27.2975,36.0,4.0,3.0
30.675,15.625,37.4,24.48,32.55,5.0,3.0
27.875,15.8,41.9,28.6375,45.175,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
21.5,5.0,67.0,32.0,11.3,0.0,0.0
17.7,4.0,82.0,87.0,3.1,0.0,0.0
26.75305556,9.659861111,58.15277778,37.43680556,17.455,3.0,1.0
26.04166667,10.4625,75.95833333,54.04166667,0.325,3.0,2.0
27.875,15.325,79.5,55.0,0.95,3.0,2.0
30.84,16.62,47.92,31.526,20.5,4.0,2.0
29.0,16.3,85.4,56.0,56.0,4.0,3.0
30.74,16.98,54.32,34.238,29.0,4.0,3.0
29.94,15.9,49.12,32.384,26.04,5.0,3.0
27.3,15.44,51.52,33.91,36.94,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
16.0,7.5,84.0,49.0,3.5,0.0,0.0
26.0,12.0,62.0,61.0,8.1,0.0,0.0
24.2,6.833333333,52.46666667,35.03333333,23.86666667,3.0,1.0
27.35648148,20.54166667,73.78703704,48.10148148,2.333333333,3.0,1.0
28.0,14.74,77.4,53.2,2.8,3.0,2.0
24.5,15.75,85.5,77.5,3.7,3.0,2.0
29.3,15.3,83.4,52.2,3.94,4.0,2.0
31.44,18.06,80.4,53.8,3.4,4.0,3.0
17.75,17.75,80.25,56.25,5.6,5.0,4.0
27.83333333,15.36666667,55.43333333,37.09166667,30.78333333,5.0,4.0
27.8,13.34,41.72,21.648000000000003,40.08,5.0,4.0
16.0,7.0,94.0,56.0,2.2,0.0,0.0
13.5,10.0,88.0,83.0,0.5,0.0,0.0
25.97916667,8.714583333,60.85833333,38.58041667,15.375,3.0,1.0
26.85648148,20.74583333,69.51203704,49.86314815,4.425,3.0,2.0
27.44583333,15.08333333,75.44583333,49.65291667,5.2,3.0,2.0
27.33333333,16.16666667,82.0,66.33333333,6.166666667,3.0,2.0
29.20833333,15.35416667,83.66666667,53.125,4.104166667,4.0,2.0
31.14,17.26,80.4,80.4,2.26,4.0,3.0
30.08333333,18.0,84.2,58.0,8.78,4.0,3.0
29.25,14.25,82.0,54.75,6.175,5.0,4.0
27.8,13.34,41.72,21.648000000000003,40.08,5.0,4.0
9.0,7.0,86.0,94.0,0.0,0.0,0.0
21.5,8.0,93.0,62.0,6.7,0.0,0.0
27.91444444,10.11055556,69.96222222,44.88811111,6.3266666670000005,3.0,1.0
27.1875,9.81875,75.6875,48.0625,0.325,2.0,1.0
27.315625,13.04375,69.871875,43.1915625,8.4125,3.0,2.0
28.33541667,16.21458333,71.1,54.95604167,9.952083333,3.0,2.0
29.35,15.3,85.45,49.85,4.525,3.0,2.0
30.945,17.3625,77.09,50.42975,3.825,4.0,3.0
30.0125,17.89285714,78.225,54.35571429,10.77142857,5.0,3.0
29.65353159,15.29717105,79.30778265,54.15333007,2.04204475,4.0,4.0
27.96,13.008,48.70399999999999,25.8436,31.496,5.0,4.0
24.0,5.5,91.0,40.0,9.3,0.0,0.0
14.5,10.2,92.0,82.0,0.8,0.0,0.0
30.86666667,12.36666667,73.66666667,46.0,0.0,2.0,1.0
24.5,11.9,76.33333333,68.0,1.733333333,3.0,2.0
27.9675,15.01,75.8675,51.79175,3.88,3.0,2.0
29.49027778,16.52638889,61.11666667,44.43986111,15.17638889,4.0,2.0
30.0,16.21428571,63.91428571,40.58857143,20.48571429,4.0,2.0
31.05,17.975,65.825,42.6475,17.25,4.0,3.0
29.04375,17.3125,75.1625,51.495,14.625,5.0,3.0
29.05014161,14.84321742,69.3674638,45.82142624,15.08241292,5.0,4.0
28.003125,13.0415625,43.679375,22.353625,35.9909375,5.0,4.0
5.6,3.4,4.57,69.6,89.0,0.0,0.0
20.0,7.4,3.2,12.4,65.0,0.0,0.0
29.9,11.825,73.75,44.25,0.0,2.0,1.0
26.25,9.9,44.2,37.14,25.1,4.0,2.0
29.16666667,16.93333333,78.66666667,60.33333333,1.266666667,2.0,1.0
32.0,17.53333333,30.74,30.74,19.5,4.0,3.0
29.69444444,16.05555556,76.25,47.56555556,9.713888889,4.0,2.0
31.3,17.825,79.0,53.75,2.825,4.0,3.0
29.58541667,17.4375,72.5375,50.20333333,15.55833333,5.0,3.0
29.96680828,14.92655075,79.93413047,54.53809291,4.41574625,5.0,4.0
27.7,12.41,58.78,31.8645,25.12,5.0,4.0
23.5,3.5,0.0,11.3,34.0,0.0,0.0
19.5,11.5,0.0,2.1,74.0,0.0,0.0
24.2,6.833333333,52.46666667,35.03333333,23.86666667,3.0,1.0
24.125,10.2,48.375,39.3075,26.3,3.0,2.0
27.56666667,12.33333333,75.66666667,50.0,7.4,4.0,2.0
26.83333333,15.66666667,80.66666667,63.66666667,2.4666666669999997,3.0,2.0
29.10714286,15.5,83.89285714,53.89285714,4.532142857,4.0,2.0
30.925,80.5,80.5,53.0,0.25,4.0,3.0
29.5875,16.75,62.575,42.49,20.6,5.0,3.0
29.52178851,15.33441764,76.53683579,52.26326858,5.237078472,5.0,4.0
27.86071429,12.70464286,48.71928571,25.29557143,32.98964286,5.0,4.0
24.0,3.6,10.3,3.6,23.0,0.0,0.0
29.0,8.0,8.3,2.1,31.0,0.0,0.0
26.63333333,9.958333332999999,63.41666667,37.87666667,12.13333333,3.0,1.0
26.12777778,22.995,69.01444444,52.03577778,5.31,3.0,2.0
29.75,18.5,79.0,59.5,1.3,2.0,1.0
30.84,16.62,47.92,31.526,20.5,4.0,2.0
29.05,14.825,83.8,50.75,3.105,3.0,2.0
30.83333333,16.33333333,35.2,18.73,44.56666667,4.0,3.0
29.21607143,17.375,75.88928571,52.17428571,13.33571429,5.0,3.0
30.81691449,15.62146381,76.63472832,53.94166259,1.552555937,5.0,4.0
27.81309524,13.07607143,47.5002381,25.19128571,34.39440476,5.0,4.0
18.0,6.8,4.4,3.96,63.0,0.0,0.0
26.0,5.5,12.0,3.09,44.0,0.0,0.0
27.31222222,9.081111111,67.19444444,44.69722222,9.153333332999999,3.0,1.0
25.08425926,14.67333333,14.67333333,47.63775926,14.72,3.0,2.0
26.16875,12.125,71.66875,38.979375,7.8,4.0,2.0
31.16666667,17.23333333,73.0,51.66666667,6.5,4.0,3.0
29.0,17.0,82.33333333,59.0,5.933333332999999,4.0,3.0
31.38125,16.828125,74.8625,47.5371875,4.53125,4.0,3.0
29.04375,17.3125,75.1625,51.495,14.625,5.0,3.0
29.62422552,14.81589455,75.36288953,51.17407158,7.86683974,5.0,4.0
27.81309524,13.3475,44.38595238,23.53485714,37.2372619,5.0,4.0
21.0,9.0,5.4,2.43,65.0,0.0,0.0
28.0,7.5,9.8,3.77,49.0,0.0,0.0
27.44111111,9.472555556,66.78622222,43.47731111,9.206666667,3.0,1.0
27.75,11.0,65.0,50.5,0.0,2.0,1.0
29.16666667,16.93333333,78.66666667,60.33333333,1.266666667,2.0,1.0
30.25096451,17.177739199999998,62.05648148,44.20694829999999,14.64510031,4.0,3.0
28.97142857,15.04642857,84.00714286,51.85714286,3.6757142860000003,3.0,2.0
31.45428571,16.74857143,68.99428571,41.38771429,12.69428571,5.0,3.0
29.36388823,16.60909832,60.36105291,40.90041561,20.92421693,5.0,3.0
28.81640178,15.34102337,65.33563181,44.25856915,19.19153281,5.0,4.0
27.95,13.785,27.03,12.12075,52.57,5.0,4.0
25.5,10.0,7.3,1.81,45.0,0.0,0.0
23.0,12.6,3.6,5.42,74.0,2.0,1.0
26.5,10.5,12.1,2.95,55.0,3.0,1.0
31.5,14.0,11.1,1.44,64.0,3.0,1.0
31.2,16.0,11.3,1.41,44.0,3.0,1.0
31.5,15.0,8.4,2.28,68.0,4.0,2.0
29.5,13.0,8.3,0.6,76.0,4.0,2.0
25.0,13.0,5.1,1.14,69.0,5.0,3.0
23.0,18.2,0.0,1.85,96.0,5.0,3.0
27.0,15.0,6.8,0.67,83.0,5.0,3.0
13.5,10.5,0.0,1.8,89.0,0.0,0.0
27.0,9.6,9.0,2.15,37.0,3.0,1.0
24.0,6.5,10.4,3.1,50.0,4.0,1.0
26.5,7.6,12.4,2.28,45.0,4.0,2.0
29.0,11.5,12.6,2.23,36.0,4.0,2.0
29.5,15.4,9.3,1.22,39.0,4.0,2.0
33.5,17.0,12.0,1.84,47.0,4.0,2.0
31.0,17.0,11.3,1.59,52.0,4.0,3.0
31.2,12.5,10.5,0.78,41.0,5.0,3.0
27.0,17.0,4.6,1.7,64.0,5.0,4.0
29.0,15.4,8.4,1.76,57.0,5.0,4.0
16.0,7.0,94.0,56.0,2.2,0.0,0.0
13.5,10.0,88.0,83.0,0.5,1.0,1.0
23.6,7.0,80.0,47.0,9.8,3.0,1.0
26.0,12.2,76.0,72.0,5.2,3.0,2.0
26.2,10.8,80.0,42.0,10.8,4.0,2.0
33.5,20.2,69.0,47.0,8.4,4.0,3.0
30.0,19.0,87.0,49.0,8.7,4.0,3.0
32.0,19.0,86.0,54.0,5.7,5.0,3.0
33.0,18.5,64.0,48.0,10.9,5.0,4.0
30.5,17.0,82.0,58.0,10.4,5.0,4.0
28.0,9.5,73.0,36.0,10.3,5.0,4.0
19.5,7.6,89.0,48.0,6.0,0.0,0.0
23.0,6.0,75.0,41.0,11.3,0.0,0.0
25.0,7.0,67.0,55.0,11.8,3.0,2.0
17.5,10.5,93.0,80.0,0.0,3.0,2.0
28.5,12.4,69.0,46.0,10.2,4.0,2.0
33.0,17.0,75.0,44.0,11.1,4.0,3.0
30.0,18.0,83.0,65.0,9.1,4.0,3.0
32.0,16.4,80.0,53.0,10.3,5.0,4.0
33.5,18.5,70.0,48.0,9.3,5.0,4.0
31.0,11.0,81.0,53.0,10.3,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
16.5,8.0,81.0,61.0,0.0,0.0,0.0
21.5,9.6,67.0,66.0,0.0,0.0,0.0
32.0,11.3,70.0,47.0,0.0,2.0,1.0
30.0,13.0,60.0,52.0,0.0,3.0,2.0
28.0,13.8,78.0,62.0,1.2,3.0,2.0
27.0,14.5,75.0,64.0,0.0,3.0,3.0
27.0,14.0,77.0,63.0,0.0,3.0,3.0
29.2,19.5,86.0,62.0,1.0,4.0,3.0
27.0,17.0,96.0,64.0,0.0,4.0,4.0
25.0,14.0,90.0,55.0,4.0,4.0,4.0
27.0,13.5,91.0,57.0,0.0,4.0,4.0
29.5,6.6,71.0,32.0,0.0,0.0,0.0
28.2,9.5,59.0,61.0,0.0,0.0,0.0
31.6,14.4,75.0,44.0,0.0,3.0,1.0
25.5,9.0,70.0,49.0,0.0,1.0,1.0
29.5,16.0,75.0,48.0,2.6,1.0,1.0
22.0,17.0,96.0,91.0,7.4,2.0,1.0
27.0,14.5,94.0,57.0,10.6,3.0,2.0
30.5,17.0,74.0,58.0,0.0,3.0,3.0
27.5,17.0,91.0,65.0,2.2,4.0,3.0
30.5,15.0,75.0,53.0,0.0,4.0,3.0
27.8,13.34,41.72,21.648000000000003,40.08,5.0,4.0
15.5,7.0,72.0,88.0,12.6,0.0,0.0
25.5,6.6,56.0,30.0,0.0,0.0,0.0
29.0,11.4,76.0,47.0,0.0,1.0,1.0
28.0,9.6,86.0,41.0,0.0,2.0,1.0
30.0,21.0,83.0,71.0,0.0,2.0,1.0
29.5,16.0,79.0,53.0,0.0,2.0,1.0
31.0,16.0,86.0,46.0,0.0,3.0,1.0
33.5,18.4,76.0,42.0,0.0,4.0,3.0
26.0,17.1,89.0,58.0,32.4,5.0,3.0
30.30084968,15.05930449,83.6047828,54.22855745,1.7944775000000002,5.0,4.0
28.0,13.3,29.4,12.81,50.1,5.0,4.0
25.0,10.0,93.0,36.0,3.5,0.0,0.0
27.5,9.7,72.0,38.0,0.0,0.0,0.0
27.0,10.2,74.0,39.0,0.0,3.0,1.0
30.5,9.5,72.0,39.0,0.0,3.0,2.0
24.0,10.5,82.0,39.0,0.0,4.0,3.0
29.0,14.0,67.0,47.0,0.0,4.0,2.0
31.5,14.0,77.0,30.0,0.0,4.0,2.0
30.5,15.0,86.0,50.0,0.0,4.0,3.0
33.5,20.4,75.0,55.0,0.0,5.0,3.0
32.5,17.5,68.0,54.0,0.0,5.0,4.0
28.33333333,12.73333333,36.93333333,16.85666667,39.13333333,5.0,4.0
25.0,7.4,75.0,49.0,0.0,0.0,0.0
21.5,8.4,89.0,64.0,0.0,0.0,0.0
23.9,8.275,40.25,27.63,36.4,3.0,1.0
24.75,11.175,74.75,63.25,1.3,3.0,2.0
28.3375,13.75,61.3375,38.95875,15.6,3.0,2.0
29.3375,16.2625,60.2,43.57875,13.7375,3.0,2.0
28.75,15.625,85.0,57.75,4.925,3.0,2.0
31.025,16.9125,63.45,40.14875,18.125,4.0,3.0
29.5875,16.75,62.575,42.49,20.6,5.0,3.0
29.96680828,14.92655075,79.93413047,54.53809291,4.41574625,5.0,4.0
27.89166667,13.25916667,39.58166667,19.94433333,41.21416667,5.0,4.0
22.0,6.0,63.0,38.0,0.0,0.0,0.0
20.3,8.0,83.0,51.0,0.0,0.0,0.0
26.86666667,8.433333333,72.33333333,49.66666667,7.2,3.0,1.0
26.13888889,10.34166667,61.80555556,44.60888889,11.83333333,3.0,2.0
29.0,15.8,76.25,56.75,3.5,3.0,2.0
27.33333333,16.16666667,82.0,66.33333333,6.166666667,3.0,2.0
28.5,16.375,85.25,58.5,7.1,4.0,3.0
31.125,16.35,46.4,27.2975,36.0,4.0,3.0
30.675,15.625,37.4,24.48,32.55,5.0,3.0
28.86307311,15.52065058,62.68210147,42.81296115,21.21224708,5.0,4.0
27.66666667,12.1,64.46666667,35.27,20.13333333,5.0,4.0
16.5,4.5,87.0,78.0,0.0,0.0,0.0
17.5,8.0,89.0,66.0,4.8,0.0,0.0
26.15,7.95,56.85,38.025,17.9,3.0,1.0
28.5,72.0,72.0,45.25,0.0,2.0,1.0
27.925,12.125,59.9,38.0575,14.55,4.0,2.0
31.8,17.15,41.15,23.4075,25.625,4.0,2.0
29.05,14.825,83.8,50.75,3.105,3.0,2.0
31.12142857,17.08035714,73.12142857,47.49232143,9.346428571,5.0,3.0
30.25,17.75,80.25,56.25,5.6,5.0,4.0
28.86307311,15.52065058,62.68210147,42.81296115,21.21224708,5.0,4.0
27.6,13.38,54.04,30.486,30.06,5.0,4.0
20.40909091,7.690909091,66.57272727,44.51,14.39090909,0.0,0.0
22.55,8.54,68.7,50.215,5.36,0.0,0.0
28.92,10.86,72.4,46.4,2.36,3.0,1.0
26.25,10.63333333,76.16666667,55.5,0.8666666670000001,3.0,2.0
28.78333333,13.08333333,54.28333333,33.61166667,20.8,3.0,2.0
28.875,17.175,78.75,61.5,6.725,4.0,3.0
29.83333333,16.25,60.23333333,39.68666667,23.9,4.0,3.0
31.5,16.8,78.66666667,50.0,0.0,4.0,3.0
29.21607143,17.375,75.88928571,52.17428571,13.33571429,4.0,3.0
29.96680828,14.92655075,79.93413047,54.53809291,4.41574625,5.0,4.0
28.075,13.0975,35.305,16.537,43.4825,5.0,4.0
18.625,8.775,47.575,44.51,35.55,0.0,0.0
21.16666667,8.533333333,57.33333333,42.05,16.26666667,0.0,0.0
26.58333333,9.251666667,63.88666667,40.26433333,12.3,3.0,1.0
25.0,10.825,60.35,51.57,12.55,3.0,2.0
27.9421875,14.25625,75.5734375,50.46359375,5.4875,3.0,2.0
31.4,17.2,29.86666667,16.54333333,30.46666667,4.0,2.0
29.32142857,15.875,84.14285714,52.53571429,4.760714286,4.0,2.0
31.45428571,16.74857143,68.99428571,41.38771429,12.69428571,4.0,3.0
29.94,15.9,49.12,32.384,26.04,5.0,3.0
27.3,15.44,51.52,33.91,36.94,5.0,4.0
28.01904762,13.01047619,44.2647619,22.69780952,35.2447619,5.0,4.0
21.16666667,5.966666667,75.0,55.0,0.0,0.0,0.0
24.85,9.55,63.0,63.5,0.0,0.0,0.0
28.24,10.22,73.6,48.0,4.32,3.0,1.0
26.12777778,22.995,69.01444444,52.03577778,5.31,3.0,2.0
27.7,14.08333333,77.83333333,51.33333333,4.133333333,3.0,2.0
29.49027778,16.52638889,61.11666667,44.43986111,15.17638889,4.0,2.0
29.3,15.3,83.4,52.2,3.94,4.0,2.0
30.925,17.975,81.5,56.75,4.25,4.0,3.0
31.175,16.625,60.125,40.195,15.3,5.0,3.0
27.875,15.8,41.9,28.6375,45.175,5.0,4.0
27.5,13.4,60.2,34.905,25.05,5.0,4.0
23.0,7.3,76.0,46.5,0.0,0.0,0.0
26.5,8.15,64.0,34.0,0.0,0.0,0.0
27.31222222,9.081111111,67.19444444,44.69722222,9.153333332999999,3.0,1.0
24.125,10.2,48.375,39.3075,26.3,3.0,2.0
28.12708333,14.8625,72.91458333,48.62770833,6.041666667,3.0,2.0
28.33541667,16.21458333,71.1,54.95604167,9.952083333,3.0,2.0
30.4,16.6,53.48,36.224000000000004,26.56,4.0,3.0
31.35857143,16.87630952,73.59412698,46.29334524,7.346904762,5.0,3.0
28.1,12.75,7.8,0.96,55.0,5.0,3.0
29.46016994,14.411860899999999,82.32095656,54.64571149,5.2988955,5.0,4.0
27.96666667,13.05666667,45.48666667,23.67133333,34.59666667,5.0,4.0
20.25,8.5,82.5,62.0,8.05,0.0,0.0
20.9,8.2,86.0,57.5,0.0,0.0,0.0
26.84714286,9.670714286,59.66571429,38.39328571,16.14857143,3.0,1.0
26.75238095,21.06714286,69.44095238,50.17352381,4.551428571000001,3.0,2.0
27.99828869,14.35922619,70.33489583,46.83450149,8.5625,3.0,2.0
29.36666667,16.68333333,55.93333333,41.43833333,18.31666667,4.0,2.0
29.3,15.22083333,85.175,50.0,4.288333333,3.0,2.0
18.3,18.3,84.0,56.33333333,5.666666667,4.0,3.0
32.56666667,16.5,48.16666667,32.26,20.4,5.0,4.0
28.80638549,15.4203712,63.01188022,42.84492514,21.67762398,5.0,4.0
12.91305556,12.91305556,52.69611111,28.56677778,30.46916667,5.0,4.0
20.97727273,6.397727272999999,72.89318182,50.803999999999995,3.578181818,0.0,0.0
20.025,8.27,78.85,58.1075,5.08,0.0,0.0
27.245674600000005,9.555873016,66.08670635,42.83871032,10.48047619,3.0,1.0
26.51309524,17.93974026,69.08205628,48.24506277,5.701038961,3.0,1.0
28.08763021,13.38697917,66.89752604,43.36652344,11.24270833,3.0,2.0
30.39131944,17.01284722,52.72083333,36.47267361,19.49826389,4.0,2.0
29.52666667,15.415,78.25666667,47.33733333,7.806,4.0,2.0
31.27185714,17.09604762,75.17530159,48.38467619,6.72752381,5.0,3.0
29.73333333,14.66666667,26.53333333,16.64,40.3,5.0,3.0
29.51452567,15.22294509,69.64677942,47.36440128,12.90249676,5.0,4.0
28.5,12.45,40.7,18.88,33.65,5.0,4.0
20.76618457,7.230027548,73.68553719,53.84763636,7.060826446,0.0,0.0
22.55,8.54,59.4575,50.215,5.36,0.0,0.0
27.351999999999997,9.343,67.814,44.4712,8.816,3.0,1.0
25.08425926,14.67333333,59.24648148,47.63775926,14.72,3.0,2.0
28.1094494,14.46830357,72.20225694,48.71975446,6.872916667,3.0,2.0
29.87789352,16.82488426,56.31944444,40.38084491,17.71030093,4.0,2.0
29.36164021,15.41666667,82.09179894,49.38026455,6.481190476,4.0,2.0
30.36947899,17.02581092,67.79422409,43.25162591,14.4209888,4.0,3.0
28.5,17.875,87.75,60.5,8.65,4.0,3.0
28.60028323,14.68643483,82.86826093,54.07618582,1.9314924999999998,4.0,4.0
25.49562831,12.98794974,46.44208995,24.20965344,33.74884921,5.0,4.0
20.53856749,7.581129477,68.14035813,47.04342424,12.60721763,0.0,0.0
24.08333333,8.633333333,71.0,51.66666667,0.0,0.0,0.0
26.996296299999997,9.389814815,62.77592593,39.93296296,12.8,3.0,1.0
27.23148148,20.26944444,72.75925926,47.01814815,2.1888888890000002,2.0,1.0
28.05,13.25,75.5,49.5,6.2,3.0,2.0
32.0,17.53333333,51.1,30.74,19.5,4.0,3.0
29.07916667,15.196875,81.03541667,50.33583333,6.20375,3.0,2.0
27.53197051,15.18312819,72.35345029,46.26194642,14.77678057,5.0,4.0
29.80242063,16.43425926,57.56718254,38.79184921,22.36531746,5.0,3.0
27.75,14.5,82.5,54.0,2.0,4.0,4.0
26.93117027,13.09600823,44.43534979,23.040143,36.52015432,5.0,4.0
